Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    0.0000000000e+00,    0.0000000000e+00,
    4.9950236082e-01,    2.0091411591e+01,
    9.9900478125e-01,    4.0182823181e+01,
    1.4985089302e+00,    4.2675228119e+01,
    1.9980131388e+00,    4.5131092072e+01,
    2.4975161552e+00,    6.9478096008e+01,
    2.9970192909e+00,    9.3916198730e+01,
    3.4965212345e+00,    9.9113220215e+01,
    3.9960229397e+00,    1.0418910217e+02,
    4.4955248833e+00,    1.1811170197e+02,
    4.9950265884e+00,    1.3210914612e+02,
    5.4945273399e+00,    1.6159388733e+02,
    5.9940280914e+00,    1.9124392700e+02,
    6.4935340881e+00,    1.9870932007e+02,
    6.9930396080e+00,    2.0588903809e+02,
    7.4925384521e+00,    2.1445758057e+02,
    7.9920377731e+00,    2.2304707336e+02,
    8.4915390015e+00,    2.4414947510e+02,
    8.9910402298e+00,    2.6546853638e+02,
    9.4905452728e+00,    2.6992895508e+02,
    9.9900503159e+00,    2.7406094360e+02,
    1.0489572525e+01,    2.8599722290e+02,
    1.0989093781e+01,    2.9810186768e+02,
    1.1488572121e+01,    2.9642971802e+02,
    1.1988050461e+01,    2.9443444824e+02,
    1.2487567902e+01,    2.8782672119e+02,
    1.2987086296e+01,    2.8110217285e+02,
    1.3486598969e+01,    2.2499050903e+02,
    1.3986112595e+01,    1.6753457642e+02,
    1.4485581398e+01,    1.5698698425e+02,
    1.4985049248e+01,    1.4778515625e+02,
    1.5484571457e+01,    1.2903332520e+02,
    1.5984095573e+01,    1.0988468933e+02,
    1.6483587265e+01,    1.0757363892e+02,
    1.6983078003e+01,    1.0596932220e+02,
    1.7482568741e+01,    9.2821243286e+01,
    1.7982061386e+01,    7.9203781128e+01,
    1.8481569290e+01,    7.2209480286e+01,
    1.8981079102e+01,    6.5477241516e+01,
    1.9480606079e+01,    6.1167854309e+01,
    1.9980134964e+01,    5.6980255127e+01,
    2.0479633331e+01,    4.9406700134e+01,
    2.0979133606e+01,    4.1674137115e+01,
    2.1478637695e+01,    4.1682849884e+01,
    2.1978141785e+01,    4.2099349976e+01,
    2.2477643967e+01,    4.8181087494e+01,
    2.2977144241e+01,    5.4523704529e+01,
    2.3476633072e+01,    5.0528541565e+01,
    2.3976121902e+01,    4.6012004852e+01,
    2.4475627899e+01,    3.8274501801e+01,
    2.4975133896e+01,    3.0370338440e+01,
    2.5474639893e+01,    3.4846858978e+01,
    2.5974145889e+01,    3.9972023010e+01,
    2.6473669052e+01,    4.6160949707e+01,
    2.6973192215e+01,    5.2420402527e+01,
    2.7472692490e+01,    5.0875801086e+01,
    2.7972188950e+01,    4.8840457916e+01,
    2.8471677780e+01,    4.7446796417e+01,
    2.8971164703e+01,    4.6097709656e+01,
    2.9470655441e+01,    4.4476856232e+01,
    2.9970146179e+01,    4.2838363647e+01,
    3.0469661713e+01,    4.1284545898e+01,
    3.0969179153e+01,    3.9737018585e+01,
    3.1468700409e+01,    3.9161285400e+01,
    3.1968221664e+01,    3.8656814575e+01,
    3.2467720032e+01,    4.1000156403e+01,
    3.2967212677e+01,    4.3554885864e+01,
    3.3466697693e+01,    4.1328052521e+01,
    3.3966178894e+01,    3.8749679565e+01,
    3.4465698242e+01,    3.9585502625e+01,
    3.4965221405e+01,    4.0706474304e+01,
    3.5464706421e+01,    4.0745906830e+01,
    3.5964183807e+01,    4.0698829651e+01,
    3.6463687897e+01,    3.9486606598e+01,
    3.6963188171e+01,    3.8180126190e+01,
    3.7462730408e+01,    3.5949062347e+01,
    3.7962272644e+01,    3.3642780304e+01,
    3.8461753845e+01,    3.3113349915e+01,
    3.8961231232e+01,    3.2738483429e+01,
    3.9460708618e+01,    3.1032522202e+01,
    3.9960189819e+01,    2.9201927185e+01,
    4.0459690094e+01,    2.8136915207e+01,
    4.0959194183e+01,    2.7138471603e+01,
    4.1458732605e+01,    2.9429164886e+01,
    4.1958274841e+01,    3.2026191711e+01,
    4.2457759857e+01,    3.1045799255e+01,
    4.2957241058e+01,    2.9706420898e+01,
    4.3456733704e+01,    2.7955303192e+01,
    4.3956226349e+01,    2.6165645599e+01,
    4.4455722809e+01,    2.7152805328e+01,
    4.4955223083e+01,    2.8436882019e+01,
    4.5454757690e+01,    2.8538238525e+01,
    4.5954296112e+01,    2.8519487381e+01,
    4.6453765869e+01,    3.0249948502e+01,
    4.6953231812e+01,    3.2167835236e+01,
    4.7452758789e+01,    3.2516033173e+01,
    4.7952289581e+01,    3.2688694000e+01,
    4.8451793671e+01,    3.3118339539e+01,
    4.8951293945e+01,    3.3577556610e+01,
    4.9450786591e+01,    3.2805885315e+01,
    4.9950275421e+01,    3.1889528275e+01,
    5.0449768066e+01,    3.3796966553e+01,
    5.0949256897e+01,    3.6040538788e+01,
    5.1448757172e+01,    3.7591773987e+01,
    5.1948261261e+01,    3.9061462402e+01,
    5.2447750092e+01,    3.7178577423e+01,
    5.2947235107e+01,    3.4895809174e+01,
    5.3446773529e+01,    3.4872985840e+01,
    5.3946315765e+01,    3.5140834808e+01,
    5.4445812225e+01,    3.4151775360e+01,
    5.4945304871e+01,    3.3002334595e+01,
    5.5444812775e+01,    3.2896316528e+01,
    5.5944324493e+01,    3.2925830841e+01,
    5.6443805695e+01,    3.3768470764e+01,
    5.6943286896e+01,    3.4724693298e+01,
    5.7442790985e+01,    3.3375259399e+01,
    5.7942302704e+01,    3.1706785202e+01,
    5.8441780090e+01,    3.3389579773e+01,
    5.8941253662e+01,    3.5511051178e+01,
    5.9440773010e+01,    3.2745719910e+01,
    5.9940299988e+01,    2.9315654755e+01,
    6.0439788818e+01,    2.9969244003e+01,
    6.0939277649e+01,    3.1185726166e+01,
    6.1438770294e+01,    3.1269626617e+01,
    6.1938262939e+01,    3.1182571411e+01,
    6.2437759399e+01,    2.9304340363e+01,
    6.2937252045e+01,    2.7149087906e+01,
    6.3436786652e+01,    2.8870761871e+01,
    6.3936325073e+01,    3.1169359207e+01,
    6.4435821533e+01,    3.0614406586e+01,
    6.4935317993e+01,    2.9642351151e+01,
